delta_Vus,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
1.2,tonic_spiking,tonic_spiking,24,90,24.0,90.0,,,,,26.2512032295552,21.54261656468694,"[-52.         -52.00000026 -52.00000129 ... -55.31523088 -55.31514177
 -55.31505254]","[-51.89984756 -51.89969489 -51.89954245 ... -51.92955189 -51.925946
 -51.92235043]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 4.99985e+00 4.99990e+00
 4.99995e+00]"
1.3111111111111111,bursting,bursting,63,46,31.5,23.0,0.41852645865786514,0.3688944614042739,0.30846584511929914,0.5451373746184038,25.977015551695526,27.063290069628955,,,
1.4222222222222223,bursting,bursting,45,51,15.0,25.5,0.3368262451736281,0.3809877124088384,0.5151121821774649,0.36193199297851936,27.610039953770848,26.12387426459589,,,
1.5333333333333332,bursting,bursting,43,49,14.333333333333334,16.333333333333332,0.3466736762170022,0.3364770232333532,0.7499774577627134,0.5735131807395291,26.589448484001213,26.708088939419905,,,
1.6444444444444444,bursting,bursting,38,46,19.0,15.333333333333334,0.3488926532404793,0.29702442134465995,0.4182612878265052,0.6030298283969671,26.133617221784434,27.50527983040077,,,
1.7555555555555555,bursting,bursting,41,35,13.666666666666666,11.666666666666666,0.287920498048473,0.2800983904870265,0.6469506050413784,0.47317459706374554,27.18639860962934,26.799127205650052,"[-52.         -52.00000026 -52.00000129 ... -55.61513226 -55.61514876
 -55.6151651 ]","[-51.89984756 -51.89969489 -51.89954245 ... -59.07454981 -59.03341984
 -58.9924798 ]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 4.99985e+00 4.99990e+00
 4.99995e+00]"
1.8666666666666667,bursting,bursting,33,36,8.25,12.0,0.2610459915311844,0.2544703482119389,0.7322780884566599,0.6441717528186501,26.84147138226517,26.898352601927694,,,
1.9777777777777779,bursting,bursting,33,39,11.0,13.0,0.24180350811988907,0.24390230248951802,0.7064349320676712,0.518207397277352,27.690729300334127,27.178504464266823,,,
2.088888888888889,bursting,bursting,35,32,11.666666666666666,10.666666666666666,0.21253259149362194,0.2447560365307939,0.5213912117923527,0.6899430760610272,27.459155028526332,27.39409660851781,,,
2.2,bursting,bursting,35,28,8.75,9.333333333333334,0.2091827642401967,0.19900144591697272,0.7920658391947949,0.6907306728338697,27.495934473395366,27.489187692966492,"[-52.         -52.00000026 -52.00000129 ... -52.33936934 -52.33674276
 -52.3341504 ]","[-51.89984756 -51.89969489 -51.89954245 ... -55.82550173 -55.82534455
 -55.82518729]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 4.99985e+00 4.99990e+00
 4.99995e+00]"
