tau_us,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
222.4276428040119,bursting,bursting,92,99,20.5,22.0,0.28731062641022875,0.3200585410096266,0.42978403352315453,0.4122606311710263,27.365521024620477,27.43996267368145,"[-52.         -52.00000026 -52.00000129 ... -55.58680299 -55.58664454
 -55.58648601]","[-51.89984756 -51.89969489 -51.89954245 ... -45.28611239 -44.58423734
 -43.73124187]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
229.84333871756644,bursting,bursting,86,96,21.0,21.0,0.31282083782242226,0.31552455904621746,0.42250248220208286,0.42655746795487015,27.43058692106502,27.401891630427134,"[-52.         -52.00000026 -52.00000129 ... -55.09165806 -55.09140609
 -55.0911541 ]","[-51.89984756 -51.89969489 -51.89954245 ... -55.57964457 -55.58012375
 -55.58060239]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
239.4430625760652,bursting,bursting,91,83,20.0,19.5,0.3121377206363041,0.3092504618632882,0.43582479843103067,0.4398697985396323,27.149470976916394,27.58998511556131,"[-52.         -52.00000026 -52.00000129 ... -55.44448103 -55.44453727
 -55.44459308]","[-51.89984756 -51.89969489 -51.89954245 ... -80.49304329 -80.34739882
 -80.20247398]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
239.75321609472297,bursting,bursting,86,89,19.0,19.0,0.2999611419689594,0.29890310786106034,0.45715330636128826,0.45703839122486295,27.690462773307676,27.719860902158427,"[-52.         -52.00000026 -52.00000129 ... -83.25441009 -83.09521261
 -82.93680277]","[-51.89984756 -51.89969489 -51.89954245 ... -55.76077073 -55.76085786
 -55.76094357]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
242.905360868945,bursting,bursting,85,88,19.0,19.0,0.2943726813569927,0.29520560244208993,0.44696732668841904,0.44891362901777704,27.633438334147677,27.64525246843571,"[-52.         -52.00000026 -52.00000129 ... -76.5639193  -76.43780204
 -76.3123076 ]","[-51.89984756 -51.89969489 -51.89954245 ... -55.85266522 -55.85265446
 -55.8526435 ]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
248.52611952212527,bursting,bursting,82,88,19.0,19.0,0.300083050885502,0.30040422187289456,0.44892370541626453,0.4491354143274196,27.267286323386614,27.259153824601302,"[-52.         -52.00000026 -52.00000129 ... -57.78615767 -57.75097753
 -57.71595444]","[-51.89984756 -51.89969489 -51.89954245 ... -55.66352048 -55.66351932
 -55.66351798]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
251.5392757474052,bursting,bursting,83,89,18.0,18.0,0.28628577997470983,0.2875179872812517,0.45982296815725937,0.46418790326324094,27.640922090822105,27.682465402045132,"[-52.         -52.00000026 -52.00000129 ... -55.97190323 -55.97184637
 -55.97178931]","[-51.89984756 -51.89969489 -51.89954245 ... -70.35462181 -70.25977695
 -70.165402  ]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
265.75975919329136,bursting,bursting,80,87,17.0,17.0,0.28125298900047857,0.275862068965517,0.4782400765184122,0.47011259196577593,27.497008609385006,27.58772961906569,"[-52.         -52.00000026 -52.00000129 ... -55.80757238 -55.80740856
 -55.80724465]","[-51.89984756 -51.89969489 -51.89954245 ... -52.21143666 -52.21031319
 -52.20922378]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
267.0527705729015,bursting,bursting,85,80,17.0,17.0,0.27650345364105705,0.2780683156654889,0.471486833730168,0.4711425206124852,27.551459886686953,27.475253473747063,"[-52.         -52.00000026 -52.00000129 ... -51.90219986 -51.89200432
 -51.88174208]","[-51.89984756 -51.89969489 -51.89954245 ... -55.94066493 -55.94051494
 -55.94036484]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
272.0888587176768,bursting,bursting,86,77,15.5,17.0,0.23810236829627418,0.2733249110986337,0.4991140725212747,0.46790192775594214,27.28301000738187,27.500260522443323,"[-52.         -52.00000026 -52.00000129 ... -56.47201688 -56.44633067
 -56.4207724 ]","[-51.89984756 -51.89969489 -51.89954245 ... -55.8054599  -55.80534635
 -55.80523268]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
276.7664232955933,bursting,bursting,83,75,16.0,16.0,0.2639868981960939,0.2618516118192073,0.48168396714915335,0.48006528887928757,27.659495652350643,27.73732043837754,"[-52.         -52.00000026 -52.00000129 ... -55.99658664 -55.99665955
 -55.99673228]","[-51.89984756 -51.89969489 -51.89954245 ... -54.9625447  -54.9622954
 -54.96204609]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
277.0701222107906,bursting,bursting,76,83,16.0,16.0,0.2651575612469465,0.2650683775113963,0.48368763452562336,0.4823810327777911,27.642532418124972,27.627497225961626,"[-52.         -52.00000026 -52.00000129 ... -55.07172185 -55.07147103
 -55.0712202 ]","[-51.89984756 -51.89969489 -51.89954245 ... -55.99801827 -55.99809801
 -55.99817756]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
277.35236514704883,bursting,bursting,75,83,16.0,16.0,0.26261657596317506,0.2682616877245289,0.4794898228285104,0.48877049781275217,27.681695411691212,27.58354330698163,"[-52.         -52.00000026 -52.00000129 ... -54.71734272 -54.71708864
 -54.71683455]","[-51.89984756 -51.89969489 -51.89954245 ... -56.00668012 -56.00667177
 -56.00666331]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
277.58123881365174,bursting,bursting,83,76,16.0,16.0,0.26475398008753764,0.26623518820409264,0.48097734596700487,0.4866298450083942,27.597086101013588,27.647052482427362,"[-52.         -52.00000026 -52.00000129 ... -55.96544415 -55.96557018
 -55.96569598]","[-51.89984756 -51.89969489 -51.89954245 ... -54.91425423 -54.91401153
 -54.91376882]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
283.68812673413186,bursting,bursting,81,76,16.0,16.0,0.26354944085457477,0.2668212347921698,0.4768830921099691,0.4780457489781772,27.467112522947165,27.361082804185283,"[-52.         -52.00000026 -52.00000129 ... -55.96336069 -55.96339439
 -55.96342795]","[-51.89984756 -51.89969489 -51.89954245 ... -54.94545244 -54.94520799
 -54.94496354]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
284.15742437309285,bursting,bursting,74,82,16.0,16.0,0.26914857448151946,0.26983091787439584,0.48569624556802177,0.48309178743961345,27.344701150120077,27.27642172833236,"[-52.         -52.00000026 -52.00000129 ... -54.70747765 -54.70721793
 -54.70695818]","[-51.89984756 -51.89969489 -51.89954245 ... -56.04320332 -56.04313299
 -56.04306259]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
284.39123643116164,bursting,bursting,73,82,16.0,14.5,0.2676556984522724,0.24551762560777962,0.4936930710177483,0.5064829821717991,27.54722814285073,27.48460780718474,"[-52.         -52.00000026 -52.00000129 ... -55.11218011 -55.11194039
 -55.11170067]","[-51.89984756 -51.89969489 -51.89954245 ... -55.9496815  -55.94992242
 -55.95016302]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
299.72470377120817,bursting,bursting,77,75,13.5,10.5,0.22839127149064808,0.21628551341962715,0.47232193463064426,0.8270956536123399,25.906808605057044,27.204263743887772,"[-52.         -52.00000026 -52.00000129 ... -69.50352397 -69.4127643
 -69.32245356]","[-51.89984756 -51.89969489 -51.89954245 ... -55.95086161 -55.95083185
 -55.95080189]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
318.0425793037399,bursting,bursting,68,73,14.0,14.0,0.23694172955585785,0.23816434791312183,0.4948657676605222,0.5004504053648282,27.493080917628138,27.540659662911555,"[-52.         -52.00000026 -52.00000129 ... -59.57962807 -59.53611577
 -59.49280614]","[-51.89984756 -51.89969489 -51.89954245 ... -55.63674902 -55.63672371
 -55.63669829]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
326.21092135216526,bursting,bursting,71,67,13.5,13.5,0.21991606835878277,0.22240388299910577,0.5056122964910506,0.510920934985311,27.54298948152827,27.488595970090305,"[-52.         -52.00000026 -52.00000129 ... -55.67472481 -55.67470701
 -55.67468909]","[-51.89984756 -51.89969489 -51.89954245 ... -47.69798794 -47.37436203
 -47.00675105]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
