Vi0,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D,V_trace_A,V_trace_B,V_trace_C,V_trace_D,time
-97.56140829266275,bursting,98,17.0,0.24837314838599223,0.42811884579159176,27.858615562482683,bursting,116,17.0,0.25417459768125983,0.4326007959854645,27.581621746518177,bursting,109,17.5,0.2602958480416876,0.42023869557908894,27.817335765024122,bursting,106,17.0,0.22631022213674398,0.38465237042023276,27.804452234607716,"[-52.         -52.00000026 -52.00000129 ... -53.32114076 -53.32020595
 -53.31926982]","[-51.89984756 -51.89969489 -51.89954245 ... -55.06525333 -55.06510341
 -55.06495349]","[-51.79939024 -51.79877697 -51.79816057 ... -55.63535645 -55.63538835
 -55.63542007]","[-51.69862805 -51.69724371 -51.69584717 ... -55.54626736 -55.52010531
 -55.49403753]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
-97.42033094122115,bursting,96,17.0,0.25182576379586014,0.4321334428071389,27.781061128647096,bursting,117,17.0,0.26272671514939117,0.43809690703583626,27.35450349869577,bursting,109,17.5,0.26245811951312614,0.4241061961915264,27.805482787847016,bursting,107,17.0,0.22831841370680528,0.3850226200789297,27.7250891555249,,,,,
-97.3239545542309,bursting,98,17.0,0.24696450974971834,0.42528760074000044,27.863530084081113,bursting,117,17.0,0.2540459002262688,0.4309880400818876,27.573616499949036,bursting,109,17.5,0.2577558652098524,0.4178243884095515,27.88967740071282,bursting,105,17.5,0.22223692918596957,0.3781790677885979,27.546035438022745,,,,,
-94.61018456164383,bursting,93,17.0,0.2508815575987018,0.43266630611141155,27.825000921450147,bursting,117,17.0,0.2552198158474908,0.43228288592054626,27.53639357854594,bursting,110,17.5,0.2741230807639497,0.4160945366787335,26.96249912374283,bursting,111,11.5,0.34507310870947244,0.6357279084551812,27.57988756815216,,,,,
-93.65773514746154,bursting,103,17.0,0.2535588533903613,0.43203076059015394,27.691097316313716,bursting,115,16.5,0.2395089038823137,0.4424289348523393,27.755611891698837,bursting,109,17.5,0.26310443339329165,0.42323563644058826,27.75774907723694,bursting,111,17.0,0.21086770760506482,0.38840985007379786,27.651632739883595,,,,,
-91.02552711889388,bursting,103,17.0,0.257498299580929,0.4388178247800425,27.625789382929547,bursting,116,16.5,0.2414138268529228,0.44487943767239063,27.696780903591325,bursting,110,17.5,0.2642271239746694,0.4250074376301585,27.73612167039049,bursting,113,17.0,0.20745237596818095,0.3806116429101566,27.60822569165614,,,,,
-84.45618519682054,bursting,110,16.5,0.2507569629030393,0.4622674217034555,27.644695725546743,bursting,112,16.0,0.2607246583821358,0.47612245869637654,27.651841297059782,bursting,109,17.0,0.261338847482276,0.45446282494091983,27.728820290923267,bursting,117,16.5,0.22159919028340075,0.40485829959514175,27.75032915178229,,,,,
-84.14466490957768,bursting,103,16.5,0.2035461258762229,0.3748547437867827,27.068370836391143,bursting,121,12.5,0.34716627634660435,0.6245120999219359,26.93047446898211,bursting,110,18.0,0.28887066749401646,0.44322311851786195,27.619419102009186,bursting,113,14.5,0.3456195066628864,0.6300601707463064,27.49788827470235,,,,,
-79.83924936551198,bursting,115,16.0,0.25709349930189096,0.4732943654305794,27.83765006520032,bursting,115,16.0,0.2564336942764733,0.46875732433319267,27.692145978979372,bursting,116,16.0,0.2601197263397948,0.47510452299505873,27.719755884880936,bursting,122,15.0,0.2488152879365406,0.5150922015040692,27.273835481125094,,,,,
-70.72517159216585,bursting,123,16.0,0.2792760733077453,0.5083754861340585,27.414262530465862,bursting,119,16.0,0.2761103550661883,0.4948657676605222,27.238932241944905,bursting,117,15.5,0.2620781961854263,0.5147872641630844,27.523339069897514,bursting,123,14.5,0.2696318598604078,0.547420281921445,27.159229375513153,"[-52.         -52.00000026 -52.00000129 ... -55.96251655 -55.96242787
 -55.96233908]","[-51.89984756 -51.89969489 -51.89954245 ... -51.92894688 -51.90397612
 -51.87866651]","[-51.79939024 -51.79877697 -51.79816057 ... -52.9586773  -52.93785364
 -52.91697395]","[-51.69862805 -51.69724371 -51.69584717 ... -55.14172944 -55.14167253
 -55.14161553]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
