g_s,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D,V_trace_A,V_trace_B,V_trace_C,V_trace_D,time
0.4215408884552938,bursting,126,14.5,0.3288271300513476,0.5801978474659858,25.80051740252215,bursting,132,8.5,0.1846566584850735,1.141617672241567,26.07947160647264,bursting,128,14.0,0.3094916637885022,0.6279632013564005,26.467838205610047,bursting,133,12.0,0.28593289291979246,0.7464636285596985,26.143338640676518,"[-52.         -52.00000022 -52.00000108 ... -86.41380437 -86.24518781
 -86.07737816]","[-51.89984756 -51.89969485 -51.89954226 ... -54.85526342 -54.85674435
 -54.85809856]","[-51.79939024 -51.79877694 -51.7981604  ... -55.75556421 -55.75631695
 -55.75697855]","[-51.69862805 -51.69724368 -51.69584703 ... -50.75484709 -50.70563456
 -50.65443458]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
0.46046930607975584,bursting,118,15.0,0.28059162670402527,0.5388221348132981,27.18926607520951,bursting,127,15.0,0.2895152505446622,0.5446623093681917,26.832566121535773,bursting,120,15.5,0.29398166390837216,0.5253894449260514,27.19402713950946,bursting,124,15.0,0.2673459119496856,0.5031446540880502,27.042955579927167,,,,,
0.463703278773988,bursting,116,15.0,0.27471389501075383,0.5310533443084356,27.341417097039088,bursting,124,15.0,0.2763507764305468,0.5318017443097212,27.19042569542852,bursting,125,15.0,0.27631508820551104,0.5329638117571815,27.31337594159378,bursting,122,14.0,0.2515121951219513,0.5574912891986062,26.97741981162561,,,,,
0.47106323430721103,bursting,119,16.0,0.2866736460434594,0.510686106784465,26.954403912214403,bursting,125,15.5,0.2605334949984847,0.5052035970496109,27.175740942982575,bursting,125,16.0,0.28919303234980437,0.5078462241633234,26.890018040486943,bursting,120,14.5,0.2685467887942577,0.535647329798061,26.885223421142005,,,,,
0.472854191023637,bursting,115,16.0,0.24145859297778166,0.42975632816193216,26.546257478440218,bursting,128,11.0,0.3805248366728713,0.7299536479433555,26.846672151658044,bursting,115,17.0,0.3062971164133056,0.4975990844176845,27.453689888908897,bursting,123,13.5,0.3803162286801846,0.7320108337603397,26.916887597131385,,,,,
0.4884334256847196,bursting,109,16.0,0.2599303631066581,0.4737203628697978,27.66402884846493,bursting,124,16.0,0.2715828208976901,0.4841911586694428,27.28503738872109,bursting,114,16.5,0.27118958676535404,0.4640478897422215,27.714519967756694,bursting,116,16.5,0.24202597969653966,0.4366335552887239,27.333837694942936,,,,,
0.5071724431222383,bursting,101,17.0,0.24750294086193975,0.42776173671265094,27.9051835196928,bursting,117,17.0,0.25001065870816436,0.42634832658281824,27.685200223870574,bursting,106,17.0,0.24957272353590187,0.432685026934643,27.90939767660884,bursting,106,17.5,0.22277890388954752,0.38245305388763523,27.682610367480283,,,,,
0.5208849659316199,bursting,109,18.0,0.23284034888130442,0.3792188092529389,27.992153236516153,bursting,101,18.0,0.2361058529567652,0.37858711289467706,27.745510119805534,bursting,92,18.0,0.2312695011465736,0.3759257170783052,27.99555913089174,bursting,110,18.0,0.23404987102321562,0.3821534346039935,27.917862037926913,,,,,
0.5392713221647893,bursting,64,19.5,0.11185962713457619,0.17407349382909465,28.400029376225028,bursting,91,17.5,0.28006547208821525,0.43073742246726376,28.11314369166572,tonic_spiking,49,9.0,,,30.659769645940425,bursting,90,17.5,0.2775480894768907,0.43519888589085204,28.332240334642286,,,,,
0.552557048091792,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,tonic_spiking,1,,,,,"[-52.         -52.00000028 -52.00000142 ... -54.83738659 -54.83738659
 -54.83738659]","[-51.89984756 -51.89969491 -51.89954257 ... -54.83738648 -54.83738648
 -54.83738648]","[-51.79939024 -51.79877699 -51.79816068 ... -54.83738823 -54.83738823
 -54.83738823]","[-51.69862805 -51.69724373 -51.69584727 ... -54.83734325 -54.83734325
 -54.83734325]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
