tau_i,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D,V_trace_A,V_trace_B,V_trace_C,V_trace_D,time
43.48803280527052,bursting,113,16.5,0.27398706006515855,0.45886293764052666,27.6162188433421,bursting,113,16.0,0.2575168602472837,0.46834020232296736,27.696240218300694,bursting,108,17.5,0.28070411179790394,0.4479082683866343,27.51131010764492,bursting,117,16.5,0.21884770876067955,0.39830322824766484,27.783974831331424,"[-52.         -52.00000026 -52.00000129 ... -56.00470779 -56.00461843
 -56.00452902]","[-51.89984756 -51.89969489 -51.89954245 ... -54.41410476 -54.41378419
 -54.41346358]","[-51.79939024 -51.79877697 -51.79816057 ... -54.86492817 -54.86463187
 -54.86433557]","[-51.69862805 -51.69724371 -51.69584717 ... -55.61479647 -55.614656
 -55.61451553]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
46.8732389692408,bursting,121,17.0,0.26550108147080026,0.4506128334534968,27.504409971348764,bursting,111,16.5,0.24725674998861724,0.45531120520876023,27.569840117013918,bursting,109,17.0,0.2627848555535621,0.44859142293199344,27.591853555339675,bursting,119,17.0,0.2606859454533332,0.4445531129831737,27.433386453465708,,,,,
46.96976183762193,bursting,110,17.0,0.2594509350983961,0.44422726666962814,27.660796017469146,bursting,119,16.5,0.26486847971466787,0.4458314757021845,27.643492956359708,bursting,121,17.0,0.26127309147562866,0.44513687959047404,27.5975873917208,bursting,112,15.5,0.24916725310813997,0.46915317851278443,27.382639833172515,,,,,
49.36362662869764,bursting,105,17.0,0.2610089309399593,0.44212574056061543,27.549567206585536,bursting,116,16.5,0.24661258893370194,0.4531653600398786,27.570823650511752,bursting,109,17.5,0.2712740437039299,0.43616696471409255,27.645153674843566,bursting,115,16.5,0.2110136075460028,0.38657801144270904,27.891403712558212,,,,,
52.61779192532088,bursting,106,17.0,0.2598908445301713,0.43837538083861205,27.512227398823484,bursting,115,16.5,0.24386193276179377,0.4488531801247812,27.622727358049147,bursting,109,17.0,0.25059452383549685,0.43634776917203005,27.887367284915797,bursting,114,16.5,0.21867138918516427,0.40248737195870476,27.87751075861065,,,,,
52.86813954443599,bursting,109,17.0,0.25160163075131065,0.4314156905886666,27.720123850040366,bursting,115,17.0,0.25475029790921905,0.43332250027082647,27.532261793291767,bursting,111,17.0,0.25191599913401175,0.43299415457891305,27.750158852171644,bursting,113,15.5,0.2216029662103865,0.46638528088053544,27.44888360432109,,,,,
53.83990736367037,bursting,96,17.0,0.25299200691294,0.43205875999135884,27.678293967021226,bursting,116,16.5,0.2410104738820076,0.4447508283484178,27.671917560709055,bursting,109,17.0,0.259876736655176,0.4178418468609631,26.91452928050606,bursting,113,12.5,0.34507844129554655,0.6325910931174087,26.915131849914616,,,,,
56.48261724225961,bursting,98,17.0,0.2493854605305347,0.42750571788897673,27.7367012891304,bursting,116,17.0,0.25646140317010924,0.4289728245715634,27.39414867368739,bursting,110,17.5,0.26050559469539974,0.41442188147534187,27.659275484128425,bursting,105,16.5,0.20947356215213372,0.38651824366110077,27.956956183926174,,,,,
56.66032822037762,bursting,96,17.0,0.24960431193052998,0.42777088591350476,27.73753442265154,bursting,116,17.0,0.25743496436848823,0.4332098685208049,27.401874760036073,bursting,110,17.5,0.26212512329744597,0.4197359860647652,27.68052658153117,bursting,105,16.5,0.21057012873874761,0.3871842028845223,27.902901639994383,,,,,
59.34412213272263,bursting,97,17.0,0.24590892732391983,0.4233969134365011,27.80044983841027,bursting,116,17.0,0.24841154243978641,0.4221814113524582,27.576215382366197,bursting,110,17.5,0.25601975715167724,0.41160732661041366,27.754163261954012,bursting,104,17.0,0.22374334378186486,0.37765776653196875,27.723687384060014,"[-52.         -52.00000026 -52.00000129 ... -54.99391763 -54.99367901
 -54.99344039]","[-51.89984756 -51.89969489 -51.89954245 ... -55.63122665 -55.63108215
 -55.63093764]","[-51.79939024 -51.79877697 -51.79816057 ... -55.90601222 -55.90590478
 -55.9057973 ]","[-51.69862805 -51.69724371 -51.69584717 ... -54.4430755  -54.44281184
 -54.44254815]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
