tau_s,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D,V_trace_A,V_trace_B,V_trace_C,V_trace_D,time
3.439696674471734,bursting,105,14.5,0.21883361475516286,0.519547993245876,33.62892891229176,bursting,114,14.5,0.22042592880460116,0.5181615627752734,33.40138622492791,bursting,108,14.0,0.20792210901545607,0.5320422441541858,33.601663072754334,bursting,110,13.5,0.19683650693047472,0.5511311967813939,33.54648526164491,"[-52.         -52.0000004  -52.00000201 ... -54.7425129  -54.74222746
 -54.74194201]","[-51.89984756 -51.89969502 -51.8995431  ... -55.49905858 -55.49890531
 -55.49875204]","[-51.79939024 -51.79877709 -51.79816115 ... -55.742428   -55.74227643
 -55.74212485]","[-51.69862805 -51.69724381 -51.69584769 ... -54.26675411 -54.26641106
 -54.26606794]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
3.723602042756061,bursting,99,15.0,0.22501797268152407,0.49579811100919696,31.283994888654576,bursting,118,14.5,0.21369632761167423,0.5093465084296847,31.176124466681586,bursting,112,15.5,0.23481732976281558,0.4781943381790359,31.288630950929953,bursting,107,15.0,0.18326991179640584,0.43991817521940924,31.263746813181086,,,,,
3.8746248888475594,bursting,102,15.0,0.23032062735755424,0.4963271788763152,30.45554247596782,bursting,119,15.0,0.23278346417569332,0.4968697207592167,30.248631715217954,bursting,113,15.5,0.23528433654805467,0.4750819516366572,30.60503707531984,bursting,109,15.5,0.20252480491126426,0.43232960809321025,30.292802803016244,,,,,
3.8845354842856117,bursting,103,15.0,0.22598261295457336,0.4897759275131626,30.548165355566418,bursting,118,15.0,0.23109037328094315,0.4911591355599213,30.189730488591188,bursting,113,15.5,0.2370703958283956,0.4740459824602985,30.439059264926172,bursting,109,15.5,0.20948625406585566,0.445573229960344,30.1359278099455,,,,,
4.1981548116789895,bursting,79,19.0,0.1800296170932939,0.28206755517946547,28.507311093886806,bursting,122,14.5,0.2214380014217531,0.5077688636132832,27.956021796331484,bursting,92,17.5,0.15128788956880607,0.28461647929415107,28.510302200134806,bursting,120,15.5,0.25312444545846324,0.5070094050244632,28.08886017722393,,,,,
4.258846628457771,bursting,110,16.5,0.24211714253470246,0.451416318699921,27.985727310198566,bursting,113,16.0,0.2514013257355506,0.46517036864751715,28.014408782584823,bursting,108,17.0,0.2531071436511993,0.4446717211018965,28.073364852673684,bursting,118,16.5,0.21768721140333264,0.4015257980325236,28.031946335542834,,,,,
4.3011261122975615,bursting,108,17.0,0.2571622123642404,0.4370533860711087,27.610081887348485,bursting,115,16.5,0.24244718035487678,0.4452657123138231,27.646640732438687,bursting,109,17.5,0.2689596057002037,0.42858673524054436,27.61003044908396,bursting,116,16.5,0.21399128719060745,0.39070894137412326,27.84312243316539,,,,,
4.482433738948142,bursting,108,17.5,0.25448599520078174,0.4247096048077128,26.734782148099917,bursting,115,17.0,0.2599768031272821,0.4295717169981529,26.76563317121589,bursting,113,18.0,0.2740901615147808,0.4217096107620293,26.43598856664868,bursting,107,17.5,0.24897976094297022,0.41431027696642014,26.612032939319512,,,,,
4.553641861411549,bursting,115,18.0,0.2721892257997288,0.41679691570282373,26.294738847105183,bursting,109,17.5,0.2810218201170835,0.4257583821181478,26.289894948960672,bursting,110,18.0,0.2768050902808504,0.4213808650949159,26.19625870977483,bursting,118,16.5,0.2627716186252772,0.4434589800443458,26.068002615320022,,,,,
4.683908058793479,bursting,114,18.0,0.27106750168295213,0.4079884131290672,25.851732805251007,bursting,110,18.0,0.27114989524216365,0.4068265495006205,25.741552793275023,bursting,111,18.0,0.27019816297020444,0.40732367976212297,25.874666484045264,bursting,120,17.0,0.25876034131762454,0.43314419370208335,25.483741540395688,"[-52.         -52.00000022 -52.00000108 ... -56.1100094  -56.08719079
 -56.06447167]","[-51.89984756 -51.89969485 -51.89954226 ... -55.78523747 -55.78513484
 -55.78503209]","[-51.79939024 -51.79877694 -51.7981604  ... -56.70103231 -56.70088108
 -56.70072968]","[-51.69862805 -51.69724368 -51.69584703 ... -53.63040561 -53.61941348
 -53.60846932]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
